Date,USD
21/08/2023,83.1146
18/08/2023,83.0905
17/08/2023,83.1263
14/08/2023,82.9521
11/08/2023,82.7796
10/08/2023,82.8372
09/08/2023,82.8166
08/08/2023,82.7968
07/08/2023,82.7431
04/08/2023,82.7978
03/08/2023,82.7171
02/08/2023,82.5347
01/08/2023,82.2833
31/07/2023,82.2481
28/07/2023,82.2465
27/07/2023,81.9923
26/07/2023,81.9880
25/07/2023,81.8088
24/07/2023,81.9246
21/07/2023,82.0217
20/07/2023,82.0446
19/07/2023,82.1029
18/07/2023,82.0486
17/07/2023,82.1460
14/07/2023,82.1021
13/07/2023,82.1201
12/07/2023,82.2817
11/07/2023,82.3533
10/07/2023,82.6335
07/07/2023,82.6773
06/07/2023,82.4572
05/07/2023,82.1616
04/07/2023,81.9689
03/07/2023,81.8630
30/06/2023,82.0428
28/06/2023,82.0124
27/06/2023,81.9620
26/06/2023,81.9729
23/06/2023,82.0510
22/06/2023,81.9188
21/06/2023,82.0951
20/06/2023,82.1157
19/06/2023,81.9658
16/06/2023,81.8834
15/06/2023,82.1982
14/06/2023,82.3141
13/06/2023,82.3907
12/06/2023,82.4553
09/06/2023,82.4251
08/06/2023,82.5795
07/06/2023,82.5339
06/06/2023,82.6396
05/06/2023,82.5768
02/06/2023,82.3175
01/06/2023,82.4562
31/05/2023,82.6773
30/05/2023,82.7332
29/05/2023,82.5497
26/05/2023,82.7182
25/05/2023,82.7477
24/05/2023,82.7207
23/05/2023,82.7961
22/05/2023,82.7982
19/05/2023,82.6989
18/05/2023,82.4783
17/05/2023,82.3695
16/05/2023,82.2735
15/05/2023,82.2841
12/05/2023,82.1606
11/05/2023,82.0431
10/05/2023,82.0240
09/05/2023,82.0231
08/05/2023,81.7606
04/05/2023,81.7353
03/05/2023,81.8552
02/05/2023,81.7625
28/04/2023,81.7829
27/04/2023,81.6526
26/04/2023,81.9155
25/04/2023,81.8994
24/04/2023,82.0495
21/04/2023,82.1542
20/04/2023,82.1635
19/04/2023,82.1202
18/04/2023,82.0734
17/04/2023,81.9456
13/04/2023,81.9755
12/04/2023,82.0712
11/04/2023,82.0881
10/04/2023,81.9105
06/04/2023,81.9753
05/04/2023,82.1892
03/04/2023,82.3867
31/03/2023,82.2169
29/03/2023,82.3603
28/03/2023,82.2068
27/03/2023,82.3558
24/03/2023,82.2378
23/03/2023,82.1590
21/03/2023,82.6799
20/03/2023,82.5030
17/03/2023,82.4663
16/03/2023,82.6841
15/03/2023,82.4955
14/03/2023,82.3619
13/03/2023,81.9132
10/03/2023,82.0147
09/03/2023,81.9159
08/03/2023,82.0890
06/03/2023,81.7448
03/03/2023,82.2643
02/03/2023,82.5555
01/03/2023,82.5467
28/02/2023,82.6816
27/02/2023,82.9145
24/02/2023,82.7432
23/02/2023,82.7628
22/02/2023,82.8434
21/02/2023,82.7562
20/02/2023,82.6902
17/02/2023,82.8085
16/02/2023,82.6414
15/02/2023,82.8621
14/02/2023,82.7163
13/02/2023,82.7046
10/02/2023,82.5787
09/02/2023,82.6103
08/02/2023,82.6746
07/02/2023,82.6959
06/02/2023,82.4540
03/02/2023,82.2296
02/02/2023,81.9536
01/02/2023,81.8494
31/01/2023,81.7387
30/01/2023,81.6552
27/01/2023,81.5445
25/01/2023,81.6263
24/01/2023,81.6020
23/01/2023,81.2757
20/01/2023,81.2196
19/01/2023,81.3577
18/01/2023,81.6480
17/01/2023,81.7727
16/01/2023,81.3719
13/01/2023,81.4328
12/01/2023,81.7187
11/01/2023,81.7029
10/01/2023,82.2108
09/01/2023,82.3662
06/01/2023,82.6348
05/01/2023,82.6973
04/01/2023,82.9052
03/01/2023,82.7817
02/01/2023,82.6287
30/12/2022,82.7862
29/12/2022,82.8346
28/12/2022,82.9183
27/12/2022,82.7936
26/12/2022,82.7373
23/12/2022,82.8685
22/12/2022,82.6679
21/12/2022,82.7736
20/12/2022,82.7902
19/12/2022,82.6405
16/12/2022,82.8184
15/12/2022,82.4822
14/12/2022,82.5170
13/12/2022,82.7154
12/12/2022,82.6425
09/12/2022,82.2092
08/12/2022,82.2844
07/12/2022,82.5391
06/12/2022,82.2800
05/12/2022,81.5855
02/12/2022,81.1771
01/12/2022,81.1512
30/11/2022,81.5970
29/11/2022,81.7121
28/11/2022,81.7545
25/11/2022,81.5289
24/11/2022,81.7655
23/11/2022,81.8165
22/11/2022,81.7742
21/11/2022,81.7732
18/11/2022,81.6975
17/11/2022,81.6335
16/11/2022,81.3354
15/11/2022,81.4280
14/11/2022,81.2332
11/11/2022,80.6483
10/11/2022,81.7421
09/11/2022,81.4800
07/11/2022,82.2112
04/11/2022,82.5287
03/11/2022,82.8835
02/11/2022,82.7650
01/11/2022,82.7126
31/10/2022,82.3934
28/10/2022,82.4092
27/10/2022,82.3889
25/10/2022,82.7626
21/10/2022,82.8619
20/10/2022,83.2042
19/10/2022,82.3735
18/10/2022,82.2279
17/10/2022,82.4047
14/10/2022,82.3877
13/10/2022,82.4013
12/10/2022,82.2411
11/10/2022,82.3901
10/10/2022,82.4028
07/10/2022,82.4000
06/10/2022,81.7044
04/10/2022,81.4267
03/10/2022,81.7417
30/09/2022,81.5522
29/09/2022,81.8633
28/09/2022,81.9005
27/09/2022,81.3720
26/09/2022,81.5750
23/09/2022,80.9165
22/09/2022,80.7246
21/09/2022,79.9226
20/09/2022,79.6778
19/09/2022,79.6657
16/09/2022,79.8180
15/09/2022,79.5830
14/09/2022,79.5837
13/09/2022,79.0640
12/09/2022,79.6776
09/09/2022,79.6358
08/09/2022,79.6712
07/09/2022,79.9220
06/09/2022,79.8893
05/09/2022,79.8936
02/09/2022,79.7888
01/09/2022,79.3970
30/08/2022,79.7194
29/08/2022,80.0906
26/08/2022,79.9097
25/08/2022,79.8705
24/08/2022,79.7927
23/08/2022,79.8903
